gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
SPRYD7,0.054023617092454006,0.06009447219967024,0.10218634597189442,0.09606401246775302,0.6020942279353756,0.5390412249455514,,,0.8528336012997826,0.7353359175912488
SPSB1,0.4666109342123497,0.5836729850374974,0.13628104899219898,0.16888350025909157,0.0023201551276859885,0.002646281839745974,0.2508772132027965,0.2508772132027965,0.13926227923941698,0.08139169375867435
SPSB2,0.12216027179688198,0.27373454386267926,0.13342153439939747,0.16322682881653058,0.3693790508953746,0.1099144003291369,1.0,1.2407820467019135,0.7119483319676978,0.3202856988513706
SPSB3,-0.07519311169459648,-0.13305642018254957,0.11079464458624258,0.10501423487394024,0.504118539517411,0.22045496760656905,,,0.802065543465451,0.458496738258205
SPTAN1,-0.05370970338071709,0.1564568958852456,0.1507498226894633,0.11820177238228549,0.7248756222805854,0.20132827490704078,,,0.906451287827663,0.4358887421424861
SPTB,0.3323158243330999,-0.1606768747573888,0.18847497053131748,0.1880086628044803,0.09115292882843044,0.4034066354416791,1.0,-1.4835065410437176,0.417647564113893,0.6314337012242047
SPTBN1,-0.15396475937222828,0.15335330424055477,0.20363625828967696,0.1370806497092502,0.4572774512420902,0.27720932629517286,1.0,1.9960286033364605,0.7733065864630485,0.516354909189464
SPTLC1,0.17945729414730358,0.2461464387623662,0.08591397508273177,0.1036566440507968,0.04798557828623881,0.02825462327818619,0.3716156812234241,0.3716156812234241,0.3384164537926625,0.17469756490675328
SPTLC2,0.261856882589089,0.1928434662469542,0.19406429278178838,0.17570952385530944,0.19036471810804065,0.28613221469661543,0.2635539522955065,-0.2635539522955065,0.5528820635285449,0.5255285681412617
SPTSSA,-0.012558972394824449,-0.06406058923188623,0.16222007631207336,0.150858240899227,0.9389595148754805,0.6758682378634127,,,0.9809996251718123,0.8268542440453377
SPTY2D1,0.19604631166317588,0.30298143791615534,0.10587397302890232,0.13041118518754025,0.07695076409133536,0.03141485461952854,0.5454584957288207,0.5454584957288207,0.3956079642067316,0.18009082598068146
SQLE,0.20845058729923796,0.3382694755645223,0.12507895828054855,0.14423808304236185,0.10916569417602504,0.030026719255590015,0.6227801511488422,0.6227801511488422,0.4445270922497038,0.17770740104629693
SQRDL,0.3577875543542868,0.3411028032709886,0.17817685565755498,0.09781935552356956,0.05652381464278741,0.0024666669672485193,0.04663312314876302,-0.04663312314876302,0.36015780100796924,0.0791723790501199
SQSTM1,-0.15183709580433744,-0.24548130503206228,0.1021089413417248,0.08739671448961618,0.1505934983915755,0.01120628350000034,0.6167413090434635,-0.6167413090434635,0.5014939540825719,0.12084216292658283
SRA1,0.2770881540995554,0.34323155640193787,0.15044851411659407,0.10752692342603684,0.07844488331054338,0.004798915196200798,0.2387088777480459,0.2387088777480459,0.3966654754241382,0.09182203821551599
SRBD1,0.05836279486500435,0.14112349915254543,0.08146868528993564,0.08587326350684311,0.4809661931447773,0.1167477410427021,,,0.7872370326096498,0.32925317657290687
SRC,-0.24768352640088068,-0.49961907071181494,0.2750963397236773,0.2670327700758519,0.3772639810300641,0.07682708188567737,1.0,-1.0171671405516554,0.7191051803515526,0.26994252105584704
SRCAP,0.08927989415112356,0.14092195249848796,0.0753075753681222,0.09244472853622664,0.2479097149718294,0.1438836490932787,,,0.6071871070066512,0.36864905016863075
SRD5A1,0.022585708240261283,-0.03268863130827626,0.17569276848098386,0.12412665765967579,0.8988294045819138,0.7951163995536598,,,0.9695813648406748,0.8959970057550671
SRD5A3,0.25636205681920765,0.247585086712524,0.1649343086848288,0.16409975847906694,0.13375968543099767,0.14781304537520962,0.034236619161131854,-0.034236619161131854,0.47987747406944986,0.37343887785068813
SREBF1,-0.15213014303543834,0.18383762648330237,0.13487364931372472,0.13456453632671242,0.2709722030250678,0.1878396520329047,1.0,2.2084234117920856,0.6300658703995637,0.4204609795600927
SREBF2,0.18835564671050437,0.2843147484391488,0.12164435786433224,0.12148466875280782,0.13517409586869564,0.03033059721665782,0.5094569948100892,0.5094569948100892,0.48219800626804216,0.1781347192563801
SREK1,0.08051063845967286,0.13652757479332298,0.09076511634633347,0.10469340640622106,0.3842488053527443,0.2077878979745934,,,0.72708367447945,0.44354854155180745
SREK1IP1,-0.08465890769293491,0.0912511543635734,0.08915991890630319,0.0804698476185201,0.35222883618429,0.2709087478528012,,,0.7003176934237721,0.5094593933713676
SRF,0.24141224128598018,0.21611761581544456,0.09300378845641703,0.12070217935360132,0.01616379464246682,0.08932113208249393,0.1047777251716547,-0.1047777251716547,0.23287368618635582,0.28913198584228983
SRFBP1,0.0082427631704159,0.21887225484781248,0.0900312152014721,0.07495766272795754,0.9278447399879599,0.008784804724979639,,,0.9768248786423278,0.11228266821751717
SRGAP1,0.9501693336865923,0.9871796007095968,0.42951812552921964,0.5679587725414016,0.037160664086692205,0.09837066618971098,0.038951232912776884,0.038951232912776884,0.3072181946035025,0.3028296035278105
SRGAP2,0.15757095536132815,0.03305593105139406,0.20721547836578494,0.2007682669688994,0.4547283823959122,0.8709607138396934,0.79021558271578,-0.79021558271578,0.7716762957131766,0.938196431587985
SRGAP3,-0.20902051434353047,-0.016618484155841776,0.14187436653180827,0.17218118517546102,0.15423079379816207,0.9241204411763833,0.9204935256807909,0.9204935256807909,0.5060818233841339,0.9665130792966364
SRGN,0.3761776633383985,0.1509467905725073,0.21230842802911787,0.15928445571145866,0.08967007679139381,0.35520299350304907,0.5987353708539576,-0.5987353708539576,0.41515252492953364,0.5907539548054549
SRI,0.21513005671808422,0.15443654108908017,0.08715880209376817,0.07223133468602656,0.0214406166836494,0.04571965935954578,0.28212476004010667,-0.28212476004010667,0.2538283079061515,0.2125875211465261
SRM,0.1765454782866914,0.2881209793278487,0.14034713978180985,0.1361441678927884,0.2210423634539427,0.047746150039058,0.6319929693128155,0.6319929693128155,0.5822148656592049,0.21642177319428185
