"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"MCFD2",0.84784001060606,0.1834555575,1.2597998380625e-15,4.71982904242538e-13,1.05007518302488,1.60668277898315e-08,4.90153010645503e-05,0.238529875789018
"MCHR1",0.0561058960181818,0.0336184267136364,0.255099136221611,0.342914462954159,0.0913402441014675,0.394174250497034,0.731778327099623,NA
"MCHR2",0.0699931749999999,0.0175130681136364,0.17576401063046,0.25272289570519,0.19861696828886,0.106642977743447,0.402058438837722,NA
"MCHR2-AS1",0.00791027357575756,0.00692119163636364,0.888225545506566,0.917261788495224,-0.0691169206920199,0.594315379066066,0.850634872174336,NA
"MCL1",0.957215386636362,0.259597605840909,1.59156391208792e-12,1.47773249315815e-10,0.633175492595322,0.00527698404586013,0.0785154406384919,0.338523490705379
"MCM10",0.396536549545454,0.132437694204545,0.00530256414340231,0.0135986858751479,-0.00383977795157329,0.990052733789957,0.998044688564308,1
"MCM2",0.187124839969697,0.0717573540227273,0.208566063426962,0.290859288479252,-0.708787567942078,0.0202863780641835,0.172772881190341,1
"MCM3",-0.398128688133333,-0.112672319809091,0.00096564728548478,0.00328104976635282,-0.560872724987183,0.0380275623327738,0.240086306857151,0.408772443947439
"MCM3AP",-0.0226266134242424,-0.0127138579318182,0.722859232321144,0.784941467823554,0.0503628555492744,0.735992004465157,0.912120089521377,NA
"MCM3AP-AS1",-0.657853758878787,-0.149354788113636,2.03812452055782e-05,0.000120199251964961,-0.79158925846512,0.00666576242102635,0.0899793656770024,0.203290621633392
"MCM4",0.229181479969697,0.0981555412954546,0.0331091503274264,0.0625151109851627,-0.418548469818983,0.0598441016845794,0.301764059379975,1
"MCM5",-0.213571580909091,0.0755150533181818,0.239996124981441,0.325942333310778,-0.126895618650606,0.750507734192691,0.918309136606573,0.405840336478939
"MCM6",0.860742414999999,0.197861361477273,6.03034349375067e-16,2.73995713423501e-13,0.985435675762774,8.20831192695053e-08,0.000124517341913238,0.144867103781304
"MCM7",-0.267261198575757,-0.0229689283409091,0.0309826812706178,0.0591643707890587,-0.162728381564646,0.551639774530878,0.828954147147062,0.39112605035138
"MCM8",-0.064665023151515,-0.0837814383636364,0.542933126520998,0.627636925072047,-0.317844385345125,0.206665949073321,0.558153846859069,NA
